id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/41053086	10.2307/41053086	Front Matter		Journal of Archaeological Research	2	2	1994-06-01T00:00:00Z		Springer	mis			
10.2307/41053193	10.2307/41053193	Recent Progress in Bioarchaeology: Approaches to the Osteological Paradox	Lori E. Wright, Cassady J. Yoder	Journal of Archaeological Research	11	1	2003-03-01T00:00:00Z	pp. 43-70	Springer	fla		The publication of The Osteological Paradox (Wood et al., 1992, Current Anthropology, 33: 343-370) a decade ago sparked debate about the methods and conclusions drawn from bioarchaeological research. Wood et al. (1992, Current Anthropology, 33: 343-370) highlighted the problematic issues of selective mortality and hidden heterogeneity in frailty (susceptibility to illness), and argued that the interpretation of population health status from skeletal remains is not straightforward. Progress in bioarchaeology over the last few years has led to the development of tools that will help us grapple with the issues of this "osteological paradox." This paper provides a review of recent literature on age and sex estimation, paleodemography, biodistance, growth disruption, paleopathology, and paleodiet. We consider how these advances may help us address the implications of hidden heterogeneity in frailty and selective mortality for studies of health and adaptation in past societies.	
10.2307/41053260	10.2307/41053260	Zooarchaeology in Complex Societies: Political Economy, Status, and Ideology	Susan D. deFrance	Journal of Archaeological Research	17	2	2009-06-01T00:00:00Z	pp. 105-168	Springer	fla		The zooarchaeology of complex societies provides insights into the interrelated social and economic relationships that people and animals created. I present a synthesis of zooarchaeological research published since the early 1990s that addresses political economy, status distinctions, and the ideological and ritual roles of animals in complex cultures. I address current approaches and applications as well as theoretical shifts in zooarchaeological practice. Research indicates there is great variability across space and time in how past peoples used animals to generate economic surplus, to establish status differentiation within societies, and to create symbolic meaning through sacrifices, offerings, and in feasts. The study of human/animal interactions in complex societies can contribute to fundamental questions of broad relevance regarding political and social life.	
10.2307/23018398	10.2307/23018398	Everything Old Is New Again: Recent Approaches to Research on the Archaic Period in the Western United States	Maxine E. McBrinn	Journal of Archaeological Research	18	3	2010-09-01T00:00:00Z	pp. 289-329		fla		There are regional differences in how archaeologists conduct their research on the Archaic period. The rich array of techniques and approaches used to examine this period in the West include human behavioral ecology and other evolutionary perspectives, technological style and aspects of practice theory, neuropsychological theory, and more. Recent research in the Great Basin, Southwest, Great Plains, Columbia-Fraser Plateau, and coastal California is surveyed to highlight commonalities and differences in the questions asked of the archaeological data and in the techniques that are used.	
10.2307/41053257	10.2307/41053257	The Neolithic Macro-(R)evolution: Macroevolutionary Theory and the Study of Culture Change	Melinda A. Zeder	Journal of Archaeological Research	17	1	2009-03-01T00:00:00Z	pp. 1-63	Springer	fla		The macroevolutionary approach in archaeology represents the most recent example in a long tradition of applying principles of biological evolution to the study of culture change. Archaeologists working within this paradigm see macroevolutionary theory as an effective response to the shortcomings of neo-Darwinian biological evolution for studying cultural evolution. Rather than operating at the level of individual traits, macroevolutionary archaeologists emphasize the role of hierarchical processes in culture change. While neo-Darwinian archaeologists disavow any element of human intent in culture change, to macroevolutionary archaeologists human agency is a key component of cultural evolution that allows cultures to respond to pressures more quickly and with greater degree of flexibility and directedness than found in biological evolution. Major culture change, when it happens, is likely to be rapid, even revolutionary, with periods of rapid change separated by periods of relative stasis of actively maintained stability. The emergence of Neolithic cultures has long been recognized as one of two periods of major revolutionary culture change in human prehistory. Here I examine the record for the Near East, tracing the empirical record for the origin of agriculture in this region, as well as other demographic, social, and ideological components of Neolithic emergence. While the empirical record from the Near East subscribes in a general way to basic principles of macroevolutionary theory, cultural evolution cannot be understood through appeal to principles of biological evolution alone, whether based in macroevolutionary theory or neo-Darwinianism. Instead, the key role of human agency in culture change distinguishes cultural evolution from biological evolution and requires a more pluralistic and less doctrinaire appeal to multiple models of change based in both the biological and social sciences.	
10.2307/41053159	10.2307/41053159	Identity and Material Culture in the Later Prehistory of Central Europe	Peter S. Wells	Journal of Archaeological Research	6	3	1998-09-01T00:00:00Z	pp. 239-298	Springer	fla		Examination of the archaeological evidence for the expression of identity in later European prehistory provides a new and promising approach to understanding change in this period. New views of the role of material culture in the communication of meanings, of the nature of identity, and of agency in the past provide a useful framework for approaching the evidence. Analysis of patterns of sameness and difference in style and decoration of manufactured objects indicates how people used their material culture to structure and to communicate their identities—on the level of the individual, of groups such as families and residential communities, and of larger entities commonly referred to as ethnic groups. This approach offers insights that complement social and economic models of change in later prehistory.	
10.2307/41053270	10.2307/41053270	Dwellers by the Sea: Native American Adaptations along the Southern Coasts of Eastern North America	Victor D. Thompson, John E. Worth	Journal of Archaeological Research	19	1	2011-03-01T00:00:00Z	pp. 51-101	Springer	fla		This comparative synthesis examines archaeological and ethnohistoric data pertaining to Native American coastal adaptations along the southern coasts of the eastern United States. We consider the totality of experiences of people living along coasts, examining such issues as technological innovation, environmental variability and change as it relates to site visibility, the built environment, the use of coastal food resources, the nature of complex coastal Calusa and Guale polities, and European contact. We link our topical discussions to broader issues in anthropology, arguing that the archaeology of southern coasts has much to contribute to our understanding of worldwide adaptations to coastal environments and broad-scale shifts in the trajectories of human societies.	
10.2307/41053119	10.2307/41053119	Risk-Sensitive Adaptive Tactics: Models and Evidence from Subsistence Studies in Biology and Anthropology	Bruce Winterhalder, Flora Lu, Bram Tucker	Journal of Archaeological Research	7	4	1999-12-01T00:00:00Z	pp. 301-348	Springer	fla		Risk-sensitive analysis of subsistence adaptations is warranted when (i) outcomes are to some degree unpredictable and (ii) they have nonlinear consequences for fitness and/or utility. Both conditions are likely to be common among peoples studied by ecological anthropologists and archaeologists. We develop a general conceptual model of risk. We then review and summarize the extensive empirical literatures from biology and anthropology for methodological insights and for their comparative potential. Risk-sensitive adaptive tactics are diverse and they are taxonomically widespread. However, the anthropological literature rarely makes use of formal models of risk-sensitive adaptation, while the biological literature lacks naturalistic observations of risk-sensitive behavior. Both anthropology and biology could benefit from greater interdisciplinary exchange.	
10.2307/41053103	10.2307/41053103	The Postprocessual Condition	Robert W. Preucel	Journal of Archaeological Research	3	2	1995-06-01T00:00:00Z	pp. 147-175	Springer	fla		Previous evaluations of postprocessual archaeology have regarded it more as a critique of processual archaeology than as a viable research program. Today this statement needs to be modified to account for the diversity of frameworks that have grown up within and adjacent to the early postprocessual formulations. These new approaches include various admixtures of structural Marxism, poststructuralism, critical theory, and feminism. Significant philosophical differences separate some of these positions, but rather than being debilitating, the active exploration of these areas holds out new possibilities and prospects both for linking archaeology more securely to the other social sciences and for making unique contributions to the nature of social theory.	
10.2307/41053226	10.2307/41053226	The Archaeology of South Asian Cities	Monica L. Smith	Journal of Archaeological Research	14	2	2006-06-01T00:00:00Z	pp. 97-142	Springer	fla		Urbanism in the Indian subcontinent occurred in three distinct time periods in which cultural cohesion over large regions is archaeologically demonstrated through the architecture and artifacts of social, ritual, and economic activity. In the Indus (2500-1900 B.C.) and Early Historic (3rd century B.C. to 4th century A.D.) periods, cities were not necessarily tied to political territories or guided by strong political leaders, but by the Medieval period (after the 9th century A.D.), urban zones were the base for political growth, warfare, and aggrandizement. The comparison of these three eras is undertaken within a framework for defining cities that balances quantitative criteria such as population size and areal extent with two types of qualitative criteria: internal specialization on the basis of materials found within archaeological sites, and external specialization on the basis of data recovered through regional analysis. Cities from the three eras also are evaluated from the perspective of the ordinary inhabitant through the examination of the social, religious, and economic factors that prompted and rewarded urban residence. While the Indus and Early Historic cities were attractive because of the networks of opportunity found there, Medieval cities additionally benefitted from a "push" factor as ordinary inhabitants allied themselves to urban areas in times of political stress and uncertainty.	
10.2307/41053137	10.2307/41053137	Front Matter		Journal of Archaeological Research	5	1	1997-03-01T00:00:00Z		Springer	mis			
10.2307/41053117	10.2307/41053117	Craft Economies in the North American Southwest	James M. Bayman	Journal of Archaeological Research	7	3	1999-09-01T00:00:00Z	pp. 249-299	Springer	fla		Debates concerning sociopolitical organization in the North American Southwest are clarified and confounded by the conclusion that craft specialization was not always a sufficient condition of complexity in the region. Understanding the relationship between varying dimensions of craft specialization (e. g., context, scale, and intensity) and sociopolitical organization in the region requires us to examine a variety of social institutions (e. g., leadership, gender, and ethnicity) that potentially generated differentiated economies. New research on middle-range societies in the North American Southwest and elsewhere in the world should focus on identifying and interpreting the archaeological signatures of specific social institutions and their linkages to craft economies.	
10.2307/41053135	10.2307/41053135	West Indian Archaeology. 2. After Columbus	William F. Keegan	Journal of Archaeological Research	4	4	1996-12-01T00:00:00Z	pp. 265-294	Springer	fla		The 500th anniversary of Christopher Columbus' arrival in the Americas sparked unprecedented interest in the Spanish invasion and in the native peoples of the West Indies. In response, archaeological investigations shed new light on Native, Spanish, and African cultures prior to 1492. In addition, contact-period documents were reexamined, leading to new reconstructions of these societies at contact. Finally, studies have focused on how the interaction and transculturation of native and invading groups led to the demise of the Tainos and the creation of Criollo and Island Carib cultures. The present review examines the changing face of West Indian archaeology in the context of colonialism and ethnohistory. The next part in this series will examine Ceramic Age archaeology.	
10.2307/41053118	10.2307/41053118	Front Matter		Journal of Archaeological Research	7	4	1999-12-01T00:00:00Z		Springer	mis			
10.2307/41053189	10.2307/41053189	Leroi-Gourhan, a Philosopher of Technique and Evolution	Françoise Audouze	Journal of Archaeological Research	10	4	2002-12-01T00:00:00Z	pp. 277-306	Springer	fla		With the publication of two volumes on technology—L'Homme et la matière and Milieu et technique in 1943-45, and Le geste et la parole (translated into English in 1993 as Gesture and Speech,)—Leroi-Gourhan asserted himself as a major social anthropologist, prehistorian, and the founder of the French schools of the ethnology of technique and of prehistoric ethnology. This paper analyzes the innovative concepts and the content of these original works, which draw their inspiration and data from biology, physiology, psychology, anthropology, and prehistory to study evolution, and technique as its medium, to create a global science of humanity.	
10.2307/41053208	10.2307/41053208	Modeling the Roles of Craft Production in Ancient Political Economies	Edward M. Schortman, Patricia A. Urban	Journal of Archaeological Research	12	2	2004-06-01T00:00:00Z	pp. 185-226	Springer	fla		Ongoing debates over the significance of specialized production in ancient political economies frequently hinge on questions of whether elites or commoners controlled craft manufactures and whether the material or ideological import of these production processes was more significant in deciding power contests. Though long recognized, such queries were traditionally answered in relatively straightforward economic terms. Recently, these time-honored approaches have been questioned. An ever increasing number of authors are promoting varied takes on the causal linkages between political forms and processes, on the one hand, and patterns of production, distribution, and use of craft goods, on the other. The literature generated by these discussions is extensive, vibrant, and often confusing. Rather than trying to synthesize all reports and essays dealing with specialized manufacture, this paper highlights general interpretive trends that underlie and structure current debates. The concluding section offers suggestions for how studies of relations among crafts, power, and social heterogeneity might be pursued profitably in the future.	
10.2307/41053145	10.2307/41053145	Evolutionary Approaches in Archaeology	Charles S. Spencer	Journal of Archaeological Research	5	3	1997-09-01T00:00:00Z	pp. 209-264	Springer	fla		Two evolutionary approaches in contemporary archaeology, selectionism and processualism, are compared in terms of their theoretical perspectives, methodologies, and empirical contributions. Selectionism is a tightly focused approach that aims to apply a strict Darwinian framework to the study of cultural evolution. The selectionists view cultural evolution as a shift in the relative frequencies of cultural traits; the evolutionary mechanism that brings this about entails undirected variation followed by selection in a manner analogous to biological evolution. Processualism is a more flexible approach that acknowledges the importance of variation and selection but employs these concepts in a broader framework that recognizes fundamental differences between cultural and biological evolution. Among them are the central roles played by directed variation and the hierarchical operation of selection in cultural evolution. As we enter the late 1990s, the selectionists appear comfortably ascendant while the processualists often seem in disarray—they appear less confident, more embattled, more internally diverse. This diversity and dynamism, however, may harbor great potential for further growth and development. It is suggested that processualism's ongoing ferment will spawn the evolutionary archaeology of the future.	
10.2307/41053157	10.2307/41053157	Front Matter		Journal of Archaeological Research	6	3	1998-09-01T00:00:00Z		Springer	mis			
10.2307/41053139	10.2307/41053139	Recent Research on the Central Andes	Terence N. D'Altroy	Journal of Archaeological Research	5	1	1997-03-01T00:00:00Z	pp. 3-73	Springer	fla		This paper reviews the rapidly changing archaeology conducted in the central Andes over the last 5-7 years. Descriptive work remains at the core of much research. At a theoretical level, foreign archaeologists are more fully using historical concepts particular to the Andes, while Andean archaeologists are drawing selectively from processual and post-processual approaches. Advances in understanding cultural historical developments are reviewed chronologically, with an emphasis on politics, social formation, ideology, settlement patterns, and economics. The article concludes by examining environment and subsistence, technology and society, and gender.	
10.2307/41053228	10.2307/41053228	Current Research on the Gulf Coast of Mexico	Christopher A. Pool	Journal of Archaeological Research	14	3	2006-09-01T00:00:00Z	pp. 189-241	Springer	fla		The Gulf Coast of Mesoamerica is a culturally and environmentally heterogeneous area that encompasses the lowlands along the Gulf of Mexico as well as rugged inland highlands. Blessed with a wealth of valued resources and a favorable geographical setting, the pre-Hispanic Gulf Coast played a critical role as a cultural and economic crossroads, and its cultures contributed vital elements to other Mesoamerican traditions. Gulf Coast archaeology currently is experiencing the most active period in its history. This recent research underscores the diversity and dynamism of the area's cultures and environment. An enormous expansion of settlement pattern studies reveals considerable diversity in sociopolitical organization, urbanism, and human-land relationships. A second important trend focuses on documenting and understanding variation in craft production and exchange systems. A third is the continuing emphasis on interregional interaction through all time periods. These three foci merge in a growing interest in variation and change in Gulf Coast political economies. Future research will need to incorporate theoretical perspectives that focus on the generation of cultural variation, including agency-based models of technological choice and political economy, as well as those, like Darwinian approaches, that emphasize the differential persistence of variation.	
10.2307/41053267	10.2307/41053267	Unity and Diversity in the European Iron Age: Out of the Mists, Some Clarity?	Tina Thurston	Journal of Archaeological Research	17	4	2009-12-01T00:00:00Z	pp. 347-423	Springer	fla		While some researchers continue to focus fruitfully on traditional issues, in recent years new perspectives, some strongly revisionist, have developed within European Iron Age archaeology, moving it from a long-static state into a rapidly changing milieu. Studies of colonialism, imperialism, and interaction have undergone sequential shifts into new territory, while topics related to sacred activity, political apparatuses, and the ruler-subject relationship have undergone substantial reworking. Perspectives absent from earlier literature have emerged: gender, age, ethnicity, and identity, and interpretations employing theories of practice, agency, landscape, and embodiment have emerged, mirroring broader disciplinary shifts. An overarching trend sees Iron Age Europe as a series of interactive societies with both broad similarities and sharp regional, even local, differences, moving through time and ever-changing relationships, influences, and trajectories. The collision of traditional and revisionist scholarship has produced debate, some heated, but has improved and invigorated the field.	
10.2307/41053098	10.2307/41053098	Introduction to Volume 3	Gary M. Feinman, T. Douglas Price	Journal of Archaeological Research	3	1	1995-03-01T00:00:00Z	pp. 1-2	Springer	mis			
10.2307/42635587	10.2307/42635587	Approaches to the Archaeology of Ethnogenesis: Past and Emergent Perspectives	Di Hu	Journal of Archaeological Research	21	4	2013-12-01T00:00:00Z	pp. 371-402		fla		Recently, interest in the archaeology of ethnogenesis has surged. This renewed interest stems from innovations in the historical study of ethnogenesis, theoretical shifts favoring multidirectional agency, and relevant contemporary sociopolitical debates. Theoretical problems surrounding the appropriateness of the social science concept of "ethnicity," however, have made the comparative study of ethnogenesis difficult. Drawing from past and emergent perspectives adds renewed vigor to comparative studies of ethnogenesis. A methodology that integrates the different types of theory can resolve the theoretical tensions in the archaeological study of ethnogenesis.	
10.2307/41053197	10.2307/41053197	Front Matter		Journal of Archaeological Research	11	3	2003-09-01T00:00:00Z		Springer	mis			
10.2307/41053092	10.2307/41053092	West Indian Archaeology. 1. Overview and Foragers	William F. Keegan	Journal of Archaeological Research	2	3	1994-09-01T00:00:00Z	pp. 255-284	Springer	fla		Caribbean archaeology is riding the wave of an exponential growth curve. In fact, so much has happened during the past 5 years that it is impossible to review everything in a single article. The present article is written as the first in a series. The first part of the paper provides an archipelagic overview of the regional environmental and cultural diversity in conjunction with references to recent archaeological research. The second part of the present paper focuses on recent research into the preceramic Lithic and Archaic Ages in the West Indies. Alternate theories of population movements and regional differences in artifact assemblages during the preceramic are discussed. The second article in this series will examine the eariy and middle ceramic periods, while the emergence and florescence of the Tainos must be postponed until the third installment.	
10.2307/41053235	10.2307/41053235	Front Matter		Journal of Archaeological Research	15	2	2007-06-01T00:00:00Z		Springer	mis			
10.2307/41053122	10.2307/41053122	Historical and Anthropological Archaeology: Forging Alliances	Robert Paynter	Journal of Archaeological Research	8	1	2000-03-01T00:00:00Z	pp. 1-37	Springer	fla		Historical and anthropological archaeology have had a somewhat disjointed relationship. Differences in theoretical perspectives, methodological concerns, and material records have led to a lack of cross talk between these branches of Americanist archaeology. This paper presents recent issues in historical archaeology, points out areas of common concern, and argues that both archaeologies would benefit from informed discussions about the materiality and history of the pre-and post-Columbian world.	
10.2307/41053201	10.2307/41053201	Over a Century of Explorations at Etowah	Adam King	Journal of Archaeological Research	11	4	2003-12-01T00:00:00Z	pp. 279-306	Springer	fla		The Etowah site is one of the larger and more famous Mississippian period mound centers in the American Southeast. Despite the fact that over a century of archaeological investigations have been conducted at the site, its history is not as well-understood as sequences of othermajor Mississippian centers like Moundville or Cahokia. This is because few attempts have been made to synthesize existing information and place the site in a broader social context In this paper I review previous research at Etowah and present a reconstruction of the site's history as a chiefdom capital In attempting to understand that sequence, I draw upon the distinctions made by dual-processual theory concerning the orientation of chief dom political economies and how they vary. Both the specific history of Etowah and the parallels it shares with the sequences of other chief dom capitals have important implications for understanding more generally the emergence and operation of ranked societies.	
10.2307/41053164	10.2307/41053164	The Archaeology of Copán, Honduras	David Webster	Journal of Archaeological Research	7	1	1999-03-01T00:00:00Z	pp. 1-53	Springer	fla		Copán, a major Classic Maya center in western Honduras, has been the focus of archaeological investigation for over a century. An intense period of research since 1975, involving projects and scholars from many institutions, has resulted in a comprehensive understanding of the origin, maturation, and decline of this major Maya polity.	
10.2307/41053146	10.2307/41053146	What's in a Bone? Recent Advances in Archaeological Bone Chemistry	M. Anne Katzenberg, Roman G. Harrison	Journal of Archaeological Research	5	3	1997-09-01T00:00:00Z	pp. 265-293	Springer	fla		This paper focuses on advances in archaeological bone chemistry since 1989. At that time studies generally shifted from development and application of techniques in bone chemistry to more experimental approaches. In stable isotope studies, controlled feeding experiments have been carried out to determine the routing of various dietary components into bone tissues. Biological apatite has been added to collagen as a tissue of study for stable carbon isotope analysis, providing the ability to study much older remains. Other elements have been added such as hydrogen for the study of paleoclimate and oxygen and strontium isotopes to study life history. Trace element studies have focused on methods of detecting and controlling for diagenesis, and barium has been added to the list of useful dietary indicators. Attempts to extract DNA from archaeological bone have been successful, however, this field is still in its early stages in terms of applications to understanding prehistoric biological relationships.	
10.2307/41053106	10.2307/41053106	Indigenous Agriculture in the Americas	Scott L. Fedick	Journal of Archaeological Research	3	4	1995-12-01T00:00:00Z	pp. 257-303	Springer	fla		Significant advances in our understanding of ancient agricultural practices in the Americas have been made in recent years. This review of the literature focuses on studies published between 1987 and early 1994. Issues pertaining to the transition from foraging to farming include the habitability of the American tropics prior to the development of agriculture, theories on plant domestication and the origins of agriculture, regional syntheses of agricultural development, and the origin, evolution, and dissemination of domesticates in the Americas. Other topics reviewed include new techniques that have recently been applied to the study of prehistoric agriculture in the Americas, various approaches to the study of agricultural change, and ways in which research on ancient agricultural practices is being applied in modern experimental agriculture and rural development projects.	
10.2307/41018854	10.2307/41018854	Front Matter		Journal of Archaeological Research	13	4	2005-12-01T00:00:00Z		Springer	mis			
10.2307/41053081	10.2307/41053081	Front Matter		Journal of Archaeological Research	2	1	1994-03-01T00:00:00Z		Springer	mis			
10.2307/41053177	10.2307/41053177	Archaeological Perspectives on the Rise of the Okinawan State	Richard Pearson	Journal of Archaeological Research	9	3	2001-09-01T00:00:00Z	pp. 243-285	Springer	fla		This paper presents an examination of processes of secondary state formation that occurred during the emergence of the Ryukyu Kingdom, in southwestern Japan, from the tenth to seventeenth centuries A. D. These processes include the influx of new populations, the appearance of new subsistence strategies and political groupings, shifting patterns of long-distance trade, the development of new patterns of foreign relations with China and Japan, the creation of indigenous culture and new ideology, and the transformation of gender hierarchy. I examine these processes from the perspective of political leadership and the nature of political hierarchy, concluding that the Okinawan case is distinctive in its heterarchical organization. The corporate, collective nature of Okinawan communities was overlain by a state-level network system that developed at the time of tributary linkages with China in the fourteenth century A. D.	
10.2307/41053085	10.2307/41053085	The Coming of Age of the History of Archaeology	Bruce G. Trigger	Journal of Archaeological Research	2	1	1994-03-01T00:00:00Z	pp. 113-136	Springer	fla		Publications and Organizational developments relating to the history of archaeology from 1989 until June 1993 are critically examined. Attention is paid to the changing motivations for producing such publications, their shifting intellectual orientation, controversies, especially as they relate to internal vs external approaches and the epistemological status of explanations, problems of verifications, and the status of these studies as a subfield within archaeology.	
10.2307/41053229	10.2307/41053229	Engendered and Feminist Archaeologies of the Recent and Documented Pasts	Laurie A. Wilkie, Katherine Howlett Hayes	Journal of Archaeological Research	14	3	2006-09-01T00:00:00Z	pp. 243-264	Springer	fla		Engendered and feminist archaeologies in historical archaeology have developed in complementary ways to those in nonhistorical archaeologies but with distinct methodological issues and sources of data. This article discusses the development of engendered and feminist archaeologies that use textual sources, the continuing themes that characterize this body of work, and the state of the field today. The article concludes with a discussion of future directions for practitioners to pursue.	
10.2307/41053206	10.2307/41053206	Front Matter		Journal of Archaeological Research	12	2	2004-06-01T00:00:00Z		Springer	mis			
10.2307/23018392	10.2307/23018392	Twenty-First-Century Historical Archaeology	Charles E. Orser Jr.	Journal of Archaeological Research	18	2	2010-06-01T00:00:00Z	pp. 111-150		fla		The practice of historical archaeology has exploded over the past two decades, and especially since 2000. Methodological advances and new theoretical insights mean that archaeological research requires periodic evaluation, and this overview builds on the work of three earlier assessors of the discipline. Here, I concentrate on four areas of research currently being pursued by historical archaeologists: analytical scale, capitalism, social inequality, and heritage and memory. I conclude that historical archaeologists have made major strides in understanding the modern world and that future research promises to offer diverse perspectives that will deepen our appreciation for how the past influences the present.	
10.2307/41053248	10.2307/41053248	Aegean Prehistory as World Archaeology: Recent Trends in the Archaeology of Bronze Age Greece	Thomas F. Tartaron	Journal of Archaeological Research	16	2	2008-06-01T00:00:00Z	pp. 83-161	Springer	fla		This article surveys archaeological work of the last decade on the Greek Bronze Age, part of the broader discipline known as Aegean prehistory. Naturally, the literature is vast, so I focus on a set of topics that may be of general interest to non-Aegeanists: chronology, regional studies, the emergence and organization of archaic states, ritual and religion, and archaeological science. Greek Bronze Age archaeology rarely appears in the comparative archaeological literature; accordingly, in this article I place this work in the context of world archaeology, arguing for a reconsideration of the potential of Aegean archaeology to provide enlightening comparative material.	
10.2307/41053223	10.2307/41053223	Front Matter		Journal of Archaeological Research	14	1	2006-03-01T00:00:00Z		Springer	mis			
10.2307/41053069	10.2307/41053069	Hunter-Gatherer Cultural Dynamics: Long- and Short-Term Trends in Australian Prehistory	Harry Lourandos	Journal of Archaeological Research	1	1	1993-03-01T00:00:00Z	pp. 67-88	Springer	fla		Recent evidence indicates that a wide range of environmental sectors of Greater Australia had been peopled between ca. 30,000 and ca. 40,000 B.P. Differences in regional Pleistocene patterns of settlement, subsistence, and demography are becoming increasingly evident—such as those between central arid Australia and sub-Antarctic Tasmania. It now remains to model and explain the extremely long-term Pleistocene cultural sequences (spanning tens of thousands of years), in contrast to the more short-term cultural sequences that characterize, for example, the mid-late Holocene period of mainland Australia. While explanations remain unresolved, the latter period indicates the widest range of regional sociocultural and demographic changes.	
10.2307/41053115	10.2307/41053115	Front Matter		Journal of Archaeological Research	7	3	1999-09-01T00:00:00Z		Springer	mis			
10.2307/41053091	10.2307/41053091	From Early Humans to Farmers and Herders—Recent Progress on Key Transitions in Southwest Asia	Brian F. Byrd	Journal of Archaeological Research	2	3	1994-09-01T00:00:00Z	pp. 221-253	Springer	fla		Archaeologists conducting research on the Pleistocene and early Holocene prehistory of Southwest Asia have made a formidable series of new discoveries and fresh insights since 1987. This article examines recent progress and shortcomings on a series of diachronic research topics, including the transition to modern humans, the development of late Pleistocene regionalism and territoriality, the advent of sedentism near the end of the Pleistocene, the origins of food production, and the initial ascendance of social complexity.	
10.2307/23018406	10.2307/23018406	The Archaeology of Native Societies in the Chesapeake: New Investigations and Interpretations	Martin Gallivan	Journal of Archaeological Research	19	3	2011-09-01T00:00:00Z	pp. 281-325	Springer	fla		Archaeological studies of Native American societies in the Chesapeake have recently incorporated a broader range of interpretive frames, including those that emphasize historical contingency and social interaction rather than cultural ecology and cultural materialism. New evidence of Woodland-period population movements, persistent places, and cycles of social ranking has prompted historically oriented interpretations that foreground particular configurations of ideology, tradition, ritual, and agency. Contact-period studies have demonstrated that native strategies of the colonial period were rooted in precontact social landscapes. Contemporary American Indians are also reclaiming their pasts in ways that challenge archaeological practices and further broaden perspectives on the Chesapeake past.	
10.2307/41053176	10.2307/41053176	Regional Research on the Inca	Charles Stanish	Journal of Archaeological Research	9	3	2001-09-01T00:00:00Z	pp. 213-241	Springer	fla		The past two decades have witnessed an increase in the amount of regional research on the Inca state of Andean South America. This work has revolutionized our view of the Inca empire and has provided a comparative database for understanding the nature of imperial expansion in premodern empires. This paper places this work in historical context. It then describes the way in which a regional approach has complemented other research to give us a fuller picture of Inca imperial strategies. The Inca state used a variety of strategies to incorporate its provinces into a viable political entity. Regional archaeological approaches provide the best means of defining those strategies, giving us a more nuanced view of premodern states such as the Inca.	
10.2307/41680526	10.2307/41680526	Nothing Lasts Forever: Environmental Discourses on the Collapse of Past Societies	Guy D. Middleton	Journal of Archaeological Research	20	3	2012-09-01T00:00:00Z	pp. 257-307	Springer	fla		The study of the collapse of past societies raises many questions for the theory and practice of archaeology. Interest in collapse extends as well into the natural sciences and environmental and sustainability policy. Despite a range of approaches to collapse, the predominant paradigm is environmental collapse, which I argue obscures recognition of the dynamic role of social processes that lie at the heart of human communities. These environmental discourses, together with confusion over terminology and the concepts of collapse, have created widespread aporia about collapse and resulted in the creation of mixed messages about complex historical and social processes.	
10.2307/41053237	10.2307/41053237	Evolutionary Foraging Models in Zooarchaeological Analysis: Recent Applications and Future Challenges	Karen D. Lupo	Journal of Archaeological Research	15	2	2007-06-01T00:00:00Z	pp. 143-189	Springer	fla		The last few decades have witnessed a rapid rise in the use of foraging models derived from behavioral ecology to explain and predict temporal and spatial differences in faunal assemblages. Although these models build on conventional ideas about utility firmly embedded in zooarchaeological analyses, when cast in an evolutionary framework these ideas produce some of the most sophisticated and elegant interpretations of archaeofaunas to date. In this article I review the methodological and practical strengths and weaknesses of current zooarchaeological applications of foraging models. Recent applications of foraging models to the zooarchaeological record reveal important variability in human-prey interactions across time and space. Case-specific applications generate theoretical and methodological advances that augment and are complementary to model building in allied fields. Recent applications also identify shortcomings in the underlying assumptions and rationale of some foraging models that mirror past and on-going discussions in anthropology and biology. I discuss how these shortcomings can fruitfully direct future applications and research in foraging economics.	
10.2307/41053143	10.2307/41053143	Higher Ground: The Archaeology of North American Platform Mounds	Owen Lindauer, John H. Blitz	Journal of Archaeological Research	5	2	1997-06-01T00:00:00Z	pp. 169-207	Springer	fla		Platform mounds, as forms of monumental architecture, have long been central to inquines into Native American social complexity. The archaeological literature produced over the last 5 years that pertains to North American platform mounds in the Southeast and Southwest is reviewed. Chronologies, forms, and functions of platform mounds are summarized. There are similarities in the platform mound characteristics and construction sequences found in both regions. It is proposed that these characteristics reflect similar social processes of integration and differentiation.	
10.2307/41053132	10.2307/41053132	Political Economy and Archaeology: Perspectives on Exchange and Production	Kenneth G. Hirth	Journal of Archaeological Research	4	3	1996-09-01T00:00:00Z	pp. 203-239	Springer	fla		Traditional approaches to the study of political economy are flawed in two respects. First, traditional approaches have submerged political economy within a discussion of political development and the evolution of complex society. Second, they have emphasized single dimensions of the economy such as production or distribution of resources as being the basis for political power. Current research has demonstrated that political economies are a mix of many different resource mobilization strategies that crosscut the production, service, and distribution sectors of the society. Archaeologists must attempt to identify this mix of strategies as a first step in reconstructing the structure of prehistoric political economy. Elites strive to control and mobilize resources from as many different sources as possible and invoke a common set of principles in doing so. These principles or components of the political economy are the accumulation, context, matrix control, and ideology principles. They are identified here as common mechanisms of resource creation, manipulation, and expropriation that can be applied to societies at different times and at different levels of organization.	
10.2307/23018403	10.2307/23018403	Back Matter		Journal of Archaeological Research	18	4	2010-12-01T00:00:00Z			mis			
